worldcom boss  left books alone  former worldcom boss bernie ebbers  who is accused of overseeing an $11bn (£5,,,,,,,,,,,,,, worldcom s problems mounted  however  as competition increased and the telecoms boom petered out, when the firm finally collapsed  shareholders lost about $180bn and 20 000 workers lost their jobs, mr ebbers  trial is expected to last two months and if found guilty the former ceo faces a substantial jail sentence, he has firmly declared his innocence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mci shareholder sues to stop bid a shareholder in us phone firm mci has taken legal action to halt a $6,,,,,,,,,,,,,, it is a long-distance and corporate phone firm  and would provide the buyer with access to a global telecommunications network and a large number of business-based subscribers, mci shares jumped on friday  hitting their highest level since april 2004 amid speculation that it would be the focus of a bidding war, a takeover of mci would be the fifth billion-dollar telecoms deal since october as companies look to cut costs and boost client bases, earlier this month  sbc communications agreed to buy its former parent and phone pioneer at&t for about $16bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
go-ahead for balkan oil pipeline albania  bulgaria and macedonia has given the go ahead for the construction of a $1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
japanese mogul arrested for fraud one of japan s best-known businessmen was arrested on thursday on charges of falsifying shareholder information and selling shares based on the false data,,,,,,,,,,,,,,  i felt enormous pressure when i dined with him and it was nothing but pain   tsutsumi told a weekly magazine in 1987,  he scolded me for pouring too much soy sauce or told me fruit was not for children, he didn t let me use the silk futon  saying it s a luxury,  there have been corporate governance issues at some other japanese companies too, last year  twelve managers from mitsubishi motors were charged with covering up safety defects in their vehicles and three executives from japan s troubled ufj bank were charged with concealing the extent of the bank s bad loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us bank  loses  customer details the bank of america has revealed it has lost computer tapes containing account details of more than one million customers who are us federal employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
battered dollar hits another low the dollar has fallen to a new record low against the euro after data fuelled fresh concerns about the us economy,,,,,,,,,,,,,,8% rise in october, the official us policy is that it supports a strong dollar but many market observers believe it is happy to let the dollar fall because of the boost to its exporters,  the us government has faced pressure from exporter organisations which have publicly stated the currency still has further to fall from  abnormal and dangerous heights  set in 2002, the us says it will let market forces determine the dollar s strength rather than intervene directly, statements from president bush in recent weeks highlighting his aim to cut the twin us deficits have prompted slight upturns in the currency, but while some observers said the quiet trade on thursday had exacerbated small moves in the market  most agree the underlying trend remains downwards, the dollar has now fallen for a third consecutive year and analysts are forecasting a further  albeit less dramatic weakening  in 2005,  i can see it finishing the year around $1,35 and we can see that it s going to be a steady track upward for the euro/dollar in 2005  finishing the year around $1,40   said adrian hughes  currency strategist with hsbc in london,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iraqi voters turn to economic issues beyond the desperate security situation in iraq lies an economy in tatters,,,,,,,,,,,,,,  an indication of this can be seen in the world of finance where  in contrast with the daily plight of ordinary people  19 private banks operate  only one of which is run in accordance with islamic banking principles, hopes are high for the future of finance  so foreign banks have been buying into the sector, national bank of kuwait has bought a majority stake in credit bank of iraq  the jordanian investment bank export & finance bank has bought 49% of national bank of iraq,  foreign firms also hope to cash in on the reconstruction effort, bechtel s efforts to rebuild schools and restore power have attracted controversy as well as boosting its bottom line while halliburton has enjoyed a wealth of military contracts, but the involvement of foreign firms in the health and banking sectors and beyond sits uneasily with many iraqis who are accustomed to the state taking responsibility for functions that are essential to making society work  observes ms alexander,  it is seen as a selling off of iraq s assets and bringing in multinationals at the expense of iraqi businesses and iraqi workers   she says, consequently  the transitional government has been forced to backtrack in recent months over its proposal to allow 100% foreign ownership of iraqi assets  she explains, in the west  it is easy to forget that the otherwise brutal baathist regime used to look after the majority of iraq s citizens rather well in terms of job creation  social security and healthcare, opinion polls suggest that  people still want the state to take a leading role in providing these things   ms alexander says,  yet in some areas of the economy  investment from abroad is still warmly welcomed  insists mr hadi  an iraqi who left the country three decades ago,  i think the private sector will evolve incredibly fast   mr hadi says,  iraq s vast natural resources can support any magnitude of economic growth,   many foreign companies say they are keen to get in on the act  yet few are actually entering the country in any meaningful way, but there are exceptions, mr hadi s blackwatch is just one of many small operators preparing for a much bigger future, blackwatch s baghdad-based affiliate falcon group has dozens of people working for it across the country in kirkuk and baghdad  and its engineers and geo-scientists work with the iraqi oil ministry to hammer out technology transfer issues  mr hadi points out,  these guys are trying to work, the iraqi business people will do business at all times,  life goes on in iraq  the people take responsibility  they want to live normal lives,,,,,,,,,,,,,,,,,,
india-pakistan peace boosts trade calmer relations between india and pakistan are paying economic dividends  with new figures showing bilateral trade up threefold in the summer,,,,,,,,,,,,,, higher oil prices  the level of tax collections  and an unfavourable monsoon season affecting the farm sector had hurt the economy in april-september  it said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gm issues 2005 profits warning general motors has warned that it expects earnings this year be lower than in 2004,,,,,,,,,,,,,, its vehicle businesses have gained market share in three out of four regions in 2004  achieving record profitability in asia pacific and returning to profit in latin america  the middle east and africa, the car maker has diversified into financial services  and is extending the reach of general motors acceptance corp (gmac)  which has said it may enter the home loans market, gmac has been a strong contributor to profits in 2004 but gm said it will do less well this year  delivering net income of $2,5bn,  attaining earnings of $10 a share remains gm s goal   the company said  adding it believes it can achieve this in 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asian banks halt dollar s slide the dollar regained some lost ground against most major currencies on wednesday after south korea and japan denied they were planning a sell-off,,,,76 yen at 0950 gmt  0,,,,,,,,,, it issued a statement that  the bank of korea will not change the portfolio of currencies in its reserves due to short term market factors , japan  too  steadied nerves, a senior japanese finance ministry official told reuters  we have no plans to change the composition of currency holdings in the foreign reserves  and we are not thinking about expanding our euro holdings , japan has $850bn in foreign exchange reserves, at the start of the year  the us currency  which had lost 7% against the euro in the final three months of 2004 and had fallen to record lows  staged something of a recovery, analysts  however  pointed to the dollar s inability recently to extend that rally despite positive economic and corporate data  and highlighted the fact that many of the us s economic problems had not disappeared, the focus has been on the country s massive trade and budget deficits  and analysts have predicted more dollar weakness to come,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christmas shoppers flock to tills shops all over the uk reported strong sales on the last saturday before christmas with some claiming record-breaking numbers of festive shoppers,,,,,,,,,,,,,,  every week footfall has been showing strong growth and at the weekends it has been going mad,  regent street association director annie walker said on saturday:  the stores were heaving today and a lot of people are going to be doing last minute shopping as many people finished work on friday and can go in the week,   she said reports of a slump in pre-christmas sales were related to the growing popularity of internet sales,  i do think this has had a lot to do with reports of lower sales figures   she said,  internet shopping has gone up enormously and not all stores have websites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beijingers fume over parking fees choking traffic jams in beijing are prompting officials to look at reorganising car parking charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cars pull down us retail figures us retail sales fell 0,,  the 3,,,,,,,,,,1%,,8%  while sales at general merchandise stores  a category that includes department stores  rose by 0,9%, these strong gains were in part put down to consumers spending gift vouchers they had been given for christmas,  sales at restaurants  bars and coffee houses rose by 0,3%  while grocery store sales were up 0,5%, in december  overall retail sales rose by 1,1%, excluding the car sector  sales rose by just 0,3%, parul jain  deputy chief economist at nomura securities international  said consumer spending would continue to rise in 2005  only at a slower rate of growth than in 2004,  consumers continue to retain their strength in the first quarter   he said, van rourke  a bond strategist at popular securities  agreed that the latest retail sales figures were  slightly stronger than expected ,,,,,,,,,,,,,,,,,,,,,,,,,
8bn) fraud  never made accounting decisions  a witness has told jurors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  lg card had been threatened with collapse because of its huge debts but the firm s creditors and its former parent have stepped in to rescue it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  sumitomo bosses told counterparts at ufj of its decision on friday  clearing the way for it to conclude a 3 trillion yen ($29bn) deal with mitsubishi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  two executives from american international group (aig) and one from marsh & mclennan were the latest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2% in the last three months of 2004  upsetting hopes of a sustained recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the nikkei index of leading shares gained 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  annual bonus rates on its with-profits life policies were cut from 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  reports in the wall street journal and the financial times suggested that the french spirits firm is considering a bid  but has yet to contact its target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the telegraph group says the cuts are needed to fund an £150m investment in new printing facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the demand for $280bn (£155bn) - filed by the clinton administration in 1999 - was rejected in a 2-1 decision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the government s partial sell-off of ntpc is part of a controversial programme to privatise state-run firms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  indonesia  which originally accepted the debt moratorium offer  owes the paris club about $48bn (£25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the tuc said in its submission before the budget that action is needed because of 105 000 jobs lost from the sector over the last year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  platon lebedev has been on trial alongside mr khodorkovsky since june in a case centring around the privatisation of a fertiliser firm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the builder of the three gorges dam is continuing work on the sister xiluodu dam  said the beijing news,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75% following the latest meeting of the bank of england,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7bn (£484bn) in 2004  latest figures show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the national highway traffic safety administration (nhtsa) said the largest recall involves 155 465 pickups  vans and sports utility vehicles (suvs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the firm said its profits were 40m rupees ($915 000; £486 000) for the three months to december on sales which fell 8% to 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  us light sweet crude futures jumped to $53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  analysts predict that the dollar will remain weak in 2005 as investors worry about the state of the us economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  a total of 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  munich-based research institute ifo said that its confidence index fell to 95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  us sales at gm sank 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  orange said it was starting proceedings against the easymobile service for trademark infringement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  optimism is at its highest since 1997 and business will reap the benefits of a continuing rise in public spending  say researchers at bdo stoy hayward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the reserve bank of australia lifted interest rates 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the spurt put china s trade surplus - a sore point with some of its trading partners - at a six-year high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  speaking at the soccerex football business forum in dubai  he said a full listing was  one of the options  for funding after the club moves to its new stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bn ($2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 the washington-based economic policy institute  which tends to be critical of the president  looks at possible fault lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  euronext chief jean-francois theodore held talks with lse boss clara furse the day after rival deutsche boerse put forward its own bid case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  anti-fraud consultancy retail decisions says  card-not-present  fraud  where goods are paid for online or by phone  has risen since the start of 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the firm is in the international spotlight after last year signing a deal to buy the pc division of personal computer pioneer ibm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  both sides hope to reach a negotiated deal over state aid received by european aircraft maker airbus and its us rival boeing  mr mandelson said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the economy expanded at an annual rate of 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  dutch firm heineken saw its annual profits drop 33% and warned that earnings in 2005 may also slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5% of india s united breweries in a deal worth 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the office for national statistics (ons) said retail sales rose 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  it plans to buy associated cement companies (acc)  ambuja cement eastern and the holding firm  ambuja cement india ltd  a holcim statement said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  according to labor department figures  157 000 new jobs were added last month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the 777-200lr will be capable of flying almost 11 000 miles non-stop  linking cities such as london and sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8% to 1 088 pence on tuesday after the uk firm announced a fresh gas discovery in northern india,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1bn (£568m) to victims of asbestos-related diseases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  in its latest bi-annual report  the oecd cut its growth predictions for the world s main industrialised regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  as chief operating officer  toshiyuki shiga will run nissan on a daily basis  although mr ghosn  who masterminded its recovery  will remain chief executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  yukos has said it will sue baikal and others involved in the sale of yuganskneftegas for $20bn in damages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the owners of rossignol  the boix-vives family  are said to be considering an offer from quiksilver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the rupee climbed to 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the paris-based firm has been shedding non-core businesses and focusing on its most profitable brands including moet & chandon champagne and louis vuitton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the deal is also in line with a 2004 directive from the nigerian central bank that called for more consolidation in the nation s crowded banking sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5m ($2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3bn (£1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  lille is a popular tourist destination for britons who want a taste of france at the weekend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75% for a sixth month in a row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  gross domestic product (gdp) rose by 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the value of the deal has not been revealed  because of a confidentiality clause in the agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the firm has benefited from increased demand for electricity at a time when power shortages have hit cities and provinces across the country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  borrowing costs have remained on hold amid concerns about the strength of economic growth in the 12 nations sharing the euro  analysts said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  some 2 000 business and political leaders from around the globe will listen to uk prime minister tony blair s opening speech on wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  chief executive franklin raines  a former senior official in the clinton administration  and chief financial officer tim howard have left the firm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the study  undertaken by the european commission  sought to assess how far the eu has moved towards meeting its economic targets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the ship had another slice of bad luck to add to its history of health scares and technical trouble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  bids have been invited from local  arab and foreign companies  iraq s ministry of communications said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  output in the period grew just 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  in a long-awaited filing  nortel said it had made $434m (£231m)  compared to the previously reported $732m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  mr bell was diagnosed with colorectal cancer in may last year  a month after taking over the top job,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  investors are betting that the european central bank (ecb) will not do anything to weaken the euro  while the us is thought to favour a declining dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  industrial output rose 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  communications minister dayanidhi maran said that there is a need to fund the fast-growing mobile market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the us budget and its trade deficit are both deep in the red  helping to push the dollar to lows against the euro and fuelling fears about the economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the policy makers are to ask for a report into how more development money can be raised  the eu said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  wmc said it made net profits of 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  a survey of 280 schemes by incomes data services  (ids) said employer contributions had increased from £5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the move is a surprising one because china is struggling to increase energy supplies for its booming economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  under a 2001 land law  the government can tax or seize unused farm sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  it has earmarked 100 trillion won ($96bn) for the first six months of 2005  60% of its total annual budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  lg card s creditors have given lg group until wednesday to sign up to a $1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the institute for supply management (ism) index fell to 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the two firms signed a memorandum of understanding  and say they expect to seal a final agreement by spring 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  according to a registration document filed with the securities and exchange commission  nasdaq stock market plans to raise $100m (£52m) from the sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the firm s revenue nearly tripled in the fourth quarter of 2004  exceeding $86m (£46m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5m for bribery the us agrochemical giant monsanto has agreed to pay a $1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bn (£6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  tube workers walked out last week demanding a 53% pay rise and in protest against the installation of automatic ticket machines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the board of man utd is expected to meet early this week to discuss the latest proposal from the us tycoon that values the club at £800m ($1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the company said tests had shown no significant finds in one of its indian oil fields  but was upbeat about the potential of other areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6bn debt swap argentina is set to close its $102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  fiat claims that gm is legally obliged to buy the 90% of the car unit it does not already own; gm says the contract  signed in 2000  is no longer valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  inbev  which makes stella artois  said pre-tax profits for 2004 rose 56% to 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the firm has failed to make money since the state sold a majority stake to hotel tycoon gordon stewart in 1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  riggs bank will put money in a special fund to be managed by a madrid-based charity  the salvador allende foundation  which helps abused victims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  optimism is at its highest since 1997 and business will reap the benefits of a continuing rise in public spending  say researchers at bdo stoy hayward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the pensions policy institute (ppi) said life expectancy for unskilled and professional men has been understated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75% the bank of england has left interest rates on hold again at 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the finding comes in a report published on thursday by the world economic forum  harvard and the un aids agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  and alan greenspan highlighted the us government s willingness to curb spending and rising household savings as factors which may help to reduce it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the company s shares tumbled after it said it has  entered a life-threatening profitability and financial situation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  but the chairman of the working party  ambassador stefan johannesson of iceland  warned that there was  still a lot of work has to be done ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the rule states that the government can borrow cash only to invest  and not to finance its spending projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the mill  krivorizhstal  was sold in june 2004 for $800m (£424m) - well below other offers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  freezing temperatures and heavy snowfalls took crude oil prices past $50 a barrel on tuesday for the first time since november,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  but iran s bid to join the trade body has been refused after the us blocked its application for the 21st time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the eight central european states which joined the eu last year will see 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  in a speech on monday  mr prettejohn urged the fsa to force brokers to disclose the size of their commissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the deal saw the sale of 11bn euros ($14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  in london on thursday ahead of the meeting  india s finance minister  lashed out at the restrictive trade policies of the g7 nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the german giant said it was studying the possibility of opening an assembly plant in the country  but that it remained only a  potential  idea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  following the comments by acting opec secretary general adnan shihab-eldin  us light crude fell 32 cents to $51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  revenue dipped 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   we are benefiting from our growth initiatives and an excellent global economy   said ge s chief executive jeff immelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  air china plans to raise $1bn (£514m) from the flotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the charges have been brought against individuals as well as companies  alleging they created false accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  a new york court ruled that former fbi man jeffrey royer  41  fed damaging information to anthony elgindy  36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the russian oil firm has filed for bankruptcy protection in the us in an attempt to halt the forced sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  mci accepted a $6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55bn euros ($2bn; £1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75% on monday following a new offer from us tycoon malcolm glazer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  in a preliminary report  the airline announced net profits of 400m euros ($527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  the us giant earned $630m (£481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  all conversions between the us dollar and cuba s  convertible  peso will from 8 november be subject to a 10% tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 million germans were out of work in february  new figures show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
